HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"CUMBERLAND MEDICAL CENTER","440009","TN","READM-30-HF-HRRP","381","","0.9423","20.4","21.6","74","01-JUL-13","30-JUN-16"
"HILL REGIONAL HOSPITAL","450192","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"STEPHENS MEMORIAL HOSPITAL","450498","TX","READM-30-COPD-HRRP","74","","0.9775","18.4","18.9","12","01-JUL-13","30-JUN-16"
"SUMMA HEALTH SYSTEM","360020","OH","READM-30-AMI-HRRP","409","","1.1518","18.3","15.9","84","01-JUL-13","30-JUN-16"
"AKRON GENERAL MEDICAL CENTER","360027","OH","READM-30-COPD-HRRP","433","","1.0025","21.4","21.4","93","01-JUL-13","30-JUN-16"
"WOOD COUNTY HOSPITAL","360029","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WOOD COUNTY HOSPITAL","360029","OH","READM-30-HIP-KNEE-HRRP","Not Available","","1.0792","4.4","4.0","Too Few to Report","01-JUL-13","30-JUN-16"
"WOOSTER COMMUNITY HOSPITAL","360036","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ST VINCENT CHARITY MEDICAL CENTER","360037","OH","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ELLIS HOSPITAL","330153","NY","READM-30-AMI-HRRP","379","","0.9042","13.8","15.3","46","01-JUL-13","30-JUN-16"
"ELLIS HOSPITAL","330153","NY","READM-30-CABG-HRRP","117","","0.9738","12.6","13.0","14","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL OF SUFFERN","330158","NY","READM-30-HIP-KNEE-HRRP","Not Available","","0.8106","4.4","5.4","Too Few to Report","01-JUL-13","30-JUN-16"
"EASTERN NIAGARA HOSPITAL","330163","NY","READM-30-AMI-HRRP","57","","1.0627","19.3","18.1","15","01-JUL-13","30-JUN-16"
"HIGHLAND HOSPITAL","330164","NY","READM-30-PN-HRRP","480","","0.8935","14.6","16.4","64","01-JUL-13","30-JUN-16"
"WESTFIELD MEMORIAL HOSPITAL, INC","330166","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NYU WINTHROP HOSPITAL","330167","NY","READM-30-CABG-HRRP","189","","1.1141","14.7","13.2","31","01-JUL-13","30-JUN-16"
"CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME","450193","TX","READM-30-AMI-HRRP","369","","0.9907","16.2","16.3","59","01-JUL-13","30-JUN-16"
"PARIS REGIONAL MEDICAL CENTER","450196","TX","READM-30-HF-HRRP","509","","0.9381","20.2","21.5","99","01-JUL-13","30-JUN-16"
"WADLEY REGIONAL MEDICAL CENTER","450200","TX","READM-30-AMI-HRRP","153","","0.9592","14.8","15.4","20","01-JUL-13","30-JUN-16"
"WADLEY REGIONAL MEDICAL CENTER","450200","TX","READM-30-HF-HRRP","353","","1.0514","22.9","21.8","84","01-JUL-13","30-JUN-16"
"NORTHWEST TEXAS HOSPITAL","450209","TX","READM-30-CABG-HRRP","92","","0.9712","12.9","13.3","11","01-JUL-13","30-JUN-16"
"NORTHWEST TEXAS HOSPITAL","450209","TX","READM-30-PN-HRRP","364","","0.8779","14.4","16.4","45","01-JUL-13","30-JUN-16"
"ETMC CARTHAGE","450210","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CHI ST LUKES HEALTH MEMORIAL LUFKIN","450211","TX","READM-30-AMI-HRRP","251","","1.0289","17.2","16.7","45","01-JUL-13","30-JUN-16"
"CHI ST LUKES HEALTH MEMORIAL LUFKIN","450211","TX","READM-30-COPD-HRRP","306","","0.9229","18.6","20.1","51","01-JUL-13","30-JUN-16"
"HENDRICK MEDICAL CENTER","450229","TX","READM-30-CABG-HRRP","Not Available","","0.8387","11.6","13.8","Too Few to Report","01-JUL-13","30-JUN-16"
"BAPTIST ST ANTHONY'S HOSPITAL","450231","TX","READM-30-CABG-HRRP","146","","0.9892","12.5","12.7","18","01-JUL-13","30-JUN-16"
"KNOX COMMUNITY HOSPITAL","360040","OH","READM-30-HIP-KNEE-HRRP","Not Available","","1.0332","5.5","5.3","Too Few to Report","01-JUL-13","30-JUN-16"
"PARMA COMMUNITY GENERAL HOSPITAL","360041","OH","READM-30-COPD-HRRP","532","","0.9636","19.9","20.6","103","01-JUL-13","30-JUN-16"
"WAYNE HOSPITAL","360044","OH","READM-30-PN-HRRP","216","","0.8617","13.0","15.1","20","01-JUL-13","30-JUN-16"
"UNIVERSITY OF TOLEDO MEDICAL CENTER","360048","OH","READM-30-CABG-HRRP","Not Available","","1.0416","14.5","13.9","Too Few to Report","01-JUL-13","30-JUN-16"
"MIAMI VALLEY HOSPITAL","360051","OH","READM-30-HF-HRRP","678","","0.8867","18.8","21.2","120","01-JUL-13","30-JUN-16"
"ST LUKE'S HOSPITAL BETHLEHEM","390049","PA","READM-30-CABG-HRRP","185","","0.8326","12.1","14.5","17","01-JUL-13","30-JUN-16"
"GRAND VIEW HOSPITAL","390057","PA","READM-30-COPD-HRRP","218","","1.0586","19.7","18.6","47","01-JUL-13","30-JUN-16"
"CARLISLE REGIONAL MEDICAL CENTER","390058","PA","READM-30-HF-HRRP","167","","0.9899","20.1","20.3","33","01-JUL-13","30-JUN-16"
"RIO GRANDE REGIONAL HOSPITAL","450711","TX","READM-30-CABG-HRRP","Not Available","","0.9837","16.7","17.0","Too Few to Report","01-JUL-13","30-JUN-16"
"RIO GRANDE REGIONAL HOSPITAL","450711","TX","READM-30-COPD-HRRP","356","","0.9789","19.3","19.7","67","01-JUL-13","30-JUN-16"
"ST DAVID'S SOUTH AUSTIN MEDICAL CENTER","450713","TX","READM-30-AMI-HRRP","329","","1.1163","16.1","14.4","60","01-JUL-13","30-JUN-16"
"ST DAVID'S SOUTH AUSTIN MEDICAL CENTER","450713","TX","READM-30-PN-HRRP","911","","1.0676","17.4","16.3","162","01-JUL-13","30-JUN-16"
"CYPRESS FAIRBANKS MEDICAL CENTER","450716","TX","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ROUND ROCK MEDICAL CENTER","450718","TX","READM-30-PN-HRRP","435","","1.0551","18.4","17.4","83","01-JUL-13","30-JUN-16"
"METHODIST CHARLTON MEDICAL CENTER","450723","TX","READM-30-AMI-HRRP","213","","0.9700","16.9","17.4","34","01-JUL-13","30-JUN-16"
"METHODIST CHARLTON MEDICAL CENTER","450723","TX","READM-30-COPD-HRRP","464","","0.9306","18.4","19.7","80","01-JUL-13","30-JUN-16"
"METHODIST CHARLTON MEDICAL CENTER","450723","TX","READM-30-PN-HRRP","537","","0.9941","17.6","17.7","94","01-JUL-13","30-JUN-16"
"BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE","450742","TX","READM-30-COPD-HRRP","229","","1.0154","17.4","17.2","41","01-JUL-13","30-JUN-16"
"TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON","450743","TX","READM-30-AMI-HRRP","168","","1.0550","16.4","15.5","31","01-JUL-13","30-JUN-16"
"TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON","450743","TX","READM-30-COPD-HRRP","327","","0.9628","18.0","18.7","56","01-JUL-13","30-JUN-16"
"POMERENE HOSPITAL","360148","OH","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"RANDOLPH HOSPITAL","340123","NC","READM-30-HIP-KNEE-HRRP","Not Available","","0.9748","3.9","4.0","Too Few to Report","01-JUL-13","30-JUN-16"
"MARTIN GENERAL HOSPITAL","340133","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MARTIN GENERAL HOSPITAL","340133","NC","READM-30-COPD-HRRP","137","","0.9465","15.2","16.0","17","01-JUL-13","30-JUN-16"
"CARTERET GENERAL HOSPITAL","340142","NC","READM-30-COPD-HRRP","209","","0.9762","17.6","18.0","35","01-JUL-13","30-JUN-16"
"DAVIS REGIONAL MEDICAL CENTER","340144","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NASH GENERAL HOSPITAL","340147","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NASH GENERAL HOSPITAL","340147","NC","READM-30-HIP-KNEE-HRRP","430","","0.9144","3.6","4.0","14","01-JUL-13","30-JUN-16"
"UPMC HAMOT","390063","PA","READM-30-PN-HRRP","573","","0.9496","16.2","17.1","90","01-JUL-13","30-JUN-16"
"PINNACLE HEALTH HOSPITALS","390067","PA","READM-30-CABG-HRRP","194","","0.9372","12.8","13.7","23","01-JUL-13","30-JUN-16"
"PINNACLE HEALTH HOSPITALS","390067","PA","READM-30-HIP-KNEE-HRRP","1265","","1.2793","5.6","4.4","76","01-JUL-13","30-JUN-16"
"HEART OF LANCASTER MEDICAL CENTER","390068","PA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HEART OF LANCASTER MEDICAL CENTER","390068","PA","READM-30-PN-HRRP","Not Available","","0.8944","12.7","14.2","Too Few to Report","01-JUL-13","30-JUN-16"
"BAPTIST MEMORIAL HOSPITAL TIPTON","440131","TN","READM-30-COPD-HRRP","Not Available","","0.9176","15.0","16.4","Too Few to Report","01-JUL-13","30-JUN-16"
"BAPTIST MEMORIAL HOSPITAL TIPTON","440131","TN","READM-30-HF-HRRP","56","","0.9934","20.4","20.5","11","01-JUL-13","30-JUN-16"
"HENRY COUNTY MEDICAL CENTER","440132","TN","READM-30-HF-HRRP","186","","1.0585","21.8","20.6","44","01-JUL-13","30-JUN-16"
"SAINT THOMAS DEKALB HOSPITAL","440148","TN","READM-30-HIP-KNEE-HRRP","Not Available","","0.9992","4.1","4.1","Too Few to Report","01-JUL-13","30-JUN-16"
"TRISTAR SUMMIT MEDICAL CENTER","440150","TN","READM-30-HIP-KNEE-HRRP","227","","1.1331","5.1","4.5","14","01-JUL-13","30-JUN-16"
"DOCTORS HOSPITAL","360152","OH","READM-30-AMI-HRRP","95","","1.0018","14.6","14.6","14","01-JUL-13","30-JUN-16"
"SOUTHWEST GENERAL HEALTH CENTER","360155","OH","READM-30-HF-HRRP","603","","0.9802","22.1","22.5","132","01-JUL-13","30-JUN-16"
"ADENA REGIONAL MEDICAL CENTER","360159","OH","READM-30-COPD-HRRP","413","","0.9409","21.0","22.3","82","01-JUL-13","30-JUN-16"
"ADENA REGIONAL MEDICAL CENTER","360159","OH","READM-30-PN-HRRP","476","","0.9489","18.7","19.7","86","01-JUL-13","30-JUN-16"
"ST JOSEPH WARREN HOSPITAL","360161","OH","READM-30-PN-HRRP","380","","0.9316","17.9","19.3","64","01-JUL-13","30-JUN-16"
"UPPER VALLEY MEDICAL CENTER","360174","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CLINTON MEMORIAL HOSPITAL","360175","OH","READM-30-COPD-HRRP","157","","1.0641","20.6","19.4","37","01-JUL-13","30-JUN-16"
"HALIFAX REGIONAL MEDICAL CENTER INC","340151","NC","READM-30-HF-HRRP","377","","0.9901","21.6","21.9","81","01-JUL-13","30-JUN-16"
"LEGACY MOUNT HOOD MEDICAL CENTER","380025","OR","READM-30-HF-HRRP","176","","1.1167","23.4","20.9","48","01-JUL-13","30-JUN-16"
"LEGACY MOUNT HOOD MEDICAL CENTER","380025","OR","READM-30-HIP-KNEE-HRRP","Not Available","","1.1176","4.4","3.9","Too Few to Report","01-JUL-13","30-JUN-16"
"LEGACY SILVERTON MEDICAL CENTER","380029","OR","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SACRED HEART UNIVERSITY DISTRICT","380033","OR","READM-30-COPD-HRRP","Not Available","","0.9937","17.8","17.9","Too Few to Report","01-JUL-13","30-JUN-16"
"SACRED HEART UNIVERSITY DISTRICT","380033","OR","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PROVIDENCE NEWBERG MEDICAL CENTER","380037","OR","READM-30-HIP-KNEE-HRRP","Not Available","","0.9696","3.2","3.3","Too Few to Report","01-JUL-13","30-JUN-16"
"ST CHARLES BEND","380047","OR","READM-30-PN-HRRP","441","","0.9712","14.7","15.1","63","01-JUL-13","30-JUN-16"
"SKY LAKES MEDICAL CENTER","380050","OR","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SKY LAKES MEDICAL CENTER","380050","OR","READM-30-PN-HRRP","394","","0.9226","14.8","16.1","54","01-JUL-13","30-JUN-16"
"TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER","440153","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER","440153","TN","READM-30-HF-HRRP","70","","0.9959","21.8","21.9","15","01-JUL-13","30-JUN-16"
"PARKRIDGE MEDICAL CENTER","440156","TN","READM-30-PN-HRRP","533","","0.9658","15.8","16.3","82","01-JUL-13","30-JUN-16"
"PARKWEST MEDICAL CENTER","440173","TN","READM-30-PN-HRRP","685","","0.9419","15.4","16.3","102","01-JUL-13","30-JUN-16"
"THE MEDICAL CENTER OF SOUTHEAST TEXAS","450518","TX","READM-30-HF-HRRP","300","","0.9927","22.2","22.3","66","01-JUL-13","30-JUN-16"
"METHODIST RICHARDSON MEDICAL CENTER","450537","TX","READM-30-HF-HRRP","228","","1.0038","21.8","21.7","50","01-JUL-13","30-JUN-16"
"PALO PINTO GENERAL HOSPITAL","450565","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PALO PINTO GENERAL HOSPITAL","450565","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HIGHLANDS HOSPITAL","390184","PA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LEHIGH VALLEY HOSPITAL - HAZLETON","390185","PA","READM-30-AMI-HRRP","153","","0.9983","20.3","20.4","31","01-JUL-13","30-JUN-16"
"LEHIGH VALLEY HOSPITAL - HAZLETON","390185","PA","READM-30-HIP-KNEE-HRRP","86","","1.3612","7.1","5.2","12","01-JUL-13","30-JUN-16"
"BLUE MOUNTAIN HOSPITAL-GNADEN HUETTEN CAMPUS","390194","PA","READM-30-AMI-HRRP","65","","1.0502","21.0","20.0","17","01-JUL-13","30-JUN-16"
"MILLCREEK COMMUNITY HOSPITAL","390198","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ADVENTIST MEDICAL CENTER","380060","OR","READM-30-PN-HRRP","186","","0.9654","16.1","16.7","28","01-JUL-13","30-JUN-16"
"PROVIDENCE PORTLAND MEDICAL CENTER","380061","OR","READM-30-COPD-HRRP","165","","0.9748","18.7","19.2","29","01-JUL-13","30-JUN-16"
"WILLAMETTE VALLEY MEDICAL CENTER","380071","OR","READM-30-COPD-HRRP","125","","1.0110","18.6","18.4","24","01-JUL-13","30-JUN-16"
"WAYNE MEDICAL CENTER","440010","TN","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WELLMONT BRISTOL REGIONAL MEDICAL CENTER","440012","TN","READM-30-HF-HRRP","509","","1.0379","22.7","21.9","118","01-JUL-13","30-JUN-16"
"UNIVERSITY OF TN MEDICAL CENTER (THE)","440015","TN","READM-30-AMI-HRRP","333","","1.0089","13.9","13.8","47","01-JUL-13","30-JUN-16"
"SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI","440020","TN","READM-30-COPD-HRRP","107","","0.9809","21.0","21.4","21","01-JUL-13","30-JUN-16"
"SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI","440020","TN","READM-30-HF-HRRP","78","","1.1357","24.5","21.5","27","01-JUL-13","30-JUN-16"
"WILLIAMSON MEDICAL CENTER","440029","TN","READM-30-HIP-KNEE-HRRP","871","","0.9295","3.7","4.0","31","01-JUL-13","30-JUN-16"
"CHRISTUS JASPER MEMORIAL HOSPITAL","450573","TX","READM-30-HF-HRRP","80","","0.9279","20.7","22.3","12","01-JUL-13","30-JUN-16"
"CHRISTUS JASPER MEMORIAL HOSPITAL","450573","TX","READM-30-PN-HRRP","171","","0.9865","16.8","17.1","28","01-JUL-13","30-JUN-16"
"HEMPHILL COUNTY HOSPITAL","450578","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TIMBERLANDS HOSPITAL","450580","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TIMBERLANDS HOSPITAL","450580","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WILBARGER GENERAL HOSPITAL","450584","TX","READM-30-COPD-HRRP","Not Available","","0.9843","15.7","16.0","Too Few to Report","01-JUL-13","30-JUN-16"
"CUERO COMMUNITY HOSPITAL","450597","TX","READM-30-COPD-HRRP","Not Available","","0.9899","19.1","19.3","Too Few to Report","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL","360052","OH","READM-30-HF-HRRP","635","","1.0581","23.4","22.1","152","01-JUL-13","30-JUN-16"
"STEWARD TRUMBULL MEMORIAL HOSPITAL, INC","360055","OH","READM-30-COPD-HRRP","292","","0.9598","18.5","19.3","51","01-JUL-13","30-JUN-16"
"MERCY HOSPITAL FAIRFIELD","360056","OH","READM-30-CABG-HRRP","Not Available","","0.9934","11.9","12.0","Too Few to Report","01-JUL-13","30-JUN-16"
"GLEN COVE HOSPITAL","330181","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GLEN COVE HOSPITAL","330181","NY","READM-30-PN-HRRP","468","","1.0791","16.6","15.4","82","01-JUL-13","30-JUN-16"
"ST FRANCIS HOSPITAL, ROSLYN","330182","NY","READM-30-CABG-HRRP","528","","1.0485","14.7","14.0","79","01-JUL-13","30-JUN-16"
"MONTEFIORE NEW ROCHELLE HOSPITAL","330184","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LONG ISLAND JEWISH MEDICAL CENTER","330195","NY","READM-30-HF-HRRP","1118","","1.2070","25.2","20.8","293","01-JUL-13","30-JUN-16"
"LONG ISLAND JEWISH MEDICAL CENTER","330195","NY","READM-30-HIP-KNEE-HRRP","354","","1.2211","6.0","4.9","25","01-JUL-13","30-JUN-16"
"CONEY ISLAND HOSPITAL","330196","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CONEY ISLAND HOSPITAL","330196","NY","READM-30-PN-HRRP","528","","1.1367","19.4","17.1","110","01-JUL-13","30-JUN-16"
"CANTON-POTSDAM HOSPITAL","330197","NY","READM-30-HF-HRRP","206","","0.9701","21.3","21.9","42","01-JUL-13","30-JUN-16"
"SOUTH NASSAU COMMUNITIES HOSPITAL","330198","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SOUTH NASSAU COMMUNITIES HOSPITAL","330198","NY","READM-30-HIP-KNEE-HRRP","503","","0.9446","4.8","5.1","23","01-JUL-13","30-JUN-16"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-HF-HRRP","36","","1.0420","25.9","24.8","12","01-JUL-13","30-JUN-16"
"ROANE MEDICAL CENTER","440031","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ROANE MEDICAL CENTER","440031","TN","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL","440032","TN","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER","440033","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER","440033","TN","READM-30-HF-HRRP","135","","1.1179","25.1","22.5","41","01-JUL-13","30-JUN-16"
"CHRISTUS SANTA ROSA HOSPITAL","450237","TX","READM-30-PN-HRRP","1027","","0.9117","15.0","16.5","149","01-JUL-13","30-JUN-16"
"HAMLIN MEMORIAL HOSPITAL","450243","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BELLVILLE ST JOSEPH HEALTH CENTER","450253","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BELLVILLE ST JOSEPH HEALTH CENTER","450253","TX","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WISE REGIONAL HEALTH SYSTEM","450271","TX","READM-30-HF-HRRP","153","","0.9423","20.7","21.9","28","01-JUL-13","30-JUN-16"
"BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND","450280","TX","READM-30-CABG-HRRP","Not Available","","0.9554","15.2","15.9","Too Few to Report","01-JUL-13","30-JUN-16"
"MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL","360058","OH","READM-30-AMI-HRRP","Not Available","","0.9678","14.4","14.9","Too Few to Report","01-JUL-13","30-JUN-16"
"ST ELIZABETH YOUNGSTOWN HOSPITAL","360064","OH","READM-30-PN-HRRP","624","","1.1682","21.9","18.7","146","01-JUL-13","30-JUN-16"
"FISHER-TITUS HOSPITAL","360065","OH","READM-30-AMI-HRRP","Not Available","","0.9794","19.4","19.8","Too Few to Report","01-JUL-13","30-JUN-16"
"FISHER-TITUS HOSPITAL","360065","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FISHER-TITUS HOSPITAL","360065","OH","READM-30-PN-HRRP","285","","0.9481","16.5","17.4","44","01-JUL-13","30-JUN-16"
"ST RITA'S MEDICAL CENTER","360066","OH","READM-30-HF-HRRP","798","","0.9983","22.6","22.6","180","01-JUL-13","30-JUN-16"
